SettlementPoint,Year,HourlyVolatility
HB_BUSAVG,2016,0.47568473411305967
HB_BUSAVG,2017,0.35668992927020654
HB_BUSAVG,2018,0.4840176849531686
HB_BUSAVG,2019,0.6049362303724777
HB_HOUSTON,2016,0.5011162373529238
HB_HOUSTON,2017,0.4125379661082625
HB_HOUSTON,2018,0.47355943871806894
HB_HOUSTON,2019,0.5964531700115931
HB_HUBAVG,2016,0.4867602601965236
HB_HUBAVG,2017,0.375369758793233
HB_HUBAVG,2018,0.4942161512344085
HB_HUBAVG,2019,0.6123059217177479
HB_NORTH,2016,0.46074333055935657
HB_NORTH,2017,0.33847395177314954
HB_NORTH,2018,0.481391849947224
HB_NORTH,2019,0.6051973333145024
HB_PAN,2019,1.070196957985806
HB_SOUTH,2016,0.5169856571273715
HB_SOUTH,2017,0.36539733381805845
HB_SOUTH,2018,0.47140102032500064
HB_SOUTH,2019,0.5916005905915207
HB_WEST,2016,0.5296607651481426
HB_WEST,2017,0.5281841869099935
HB_WEST,2018,0.7085183170935415
HB_WEST,2019,0.7999198403245499
